region,year,mfn
TB,1019,0.033846154
TB,1020,0.982564103
TB,1021,0.868717949
TB,1022,0.078461538
TB,1023,0.539487179
TB,1024,0.763076923
TB,1025,0.812307692
TB,1026,0.989230769
TB,1027,0.648717949
TB,1028,0.993333333
TB,1029,0.973846154
TB,1030,0.686153846
TB,1031,0.003076923
TB,1032,0.955897436
TB,1033,0.985641026
TB,1034,0.948205128
TB,1035,0.010769231
TB,1036,0.035384615
TB,1037,0.89025641
TB,1038,0.130769231
TB,1039,0.906666667
TB,1040,0.913846154
TB,1041,0.081538462
TB,1042,0.574871795
TB,1043,0.064102564
TB,1044,0.106666667
TB,1045,0.637948718
TB,1046,0.634358974
TB,1047,0.16974359
TB,1048,0.185641026
TB,1049,0.76974359
TB,1050,0.749230769
TB,1051,0.781538462
TB,1052,0.993846154
TB,1053,0.991282051
TB,1054,0.801025641
TB,1055,0.994871795
TB,1056,0.864615385
TB,1057,0.462564103
TB,1058,0.768717949
TB,1059,0.96974359
TB,1060,0.994358974
TB,1061,0.873333333
TB,1062,0.940512821
TB,1063,0.979487179
TB,1064,0.966666667
TB,1065,0.986153846
TB,1066,0.986153846
TB,1067,0.412307692
TB,1068,0.008205128
TB,1069,0.983076923
TB,1070,0.587692308
TB,1071,0.844102564
TB,1072,0.987179487
TB,1073,0.284102564
TB,1074,0.911794872
TB,1075,0.032307692
TB,1076,0.629230769
TB,1077,0.754358974
TB,1078,0.664102564
TB,1079,0.917948718
TB,1080,0.778974359
TB,1081,0.668717949
TB,1082,0.986153846
TB,1083,0.211282051
TB,1084,0.215384615
TB,1085,0.002564103
TB,1086,0.075897436
TB,1087,0.078461538
TB,1088,0.608717949
TB,1089,0.639487179
TB,1090,0
TB,1091,0
TB,1092,0.000512821
TB,1093,0.160512821
TB,1094,0
TB,1095,0.342051282
TB,1096,0.433333333
TB,1097,0.131282051
TB,1098,0.373846154
TB,1099,0
TB,1100,0.004615385
TB,1101,0.884102564
TB,1102,0.946666667
TB,1103,0.937948718
TB,1104,0.313333333
TB,1105,0.582564103
TB,1106,0.011282051
TB,1107,0.249230769
TB,1108,0.040512821
TB,1109,0.455897436
TB,1110,0.58
TB,1111,0.00974359
TB,1112,0.390769231
TB,1113,0.717435897
TB,1114,0.717948718
TB,1115,0.988205128
TB,1116,0.994358974
TB,1117,0.992820513
