region,year,ppt
TB,1016,466.5396747
TB,1017,387.5736816
TB,1018,417.9581074
TB,1019,272.2203056
TB,1020,517.7289305
TB,1021,416.3819616
TB,1022,310.7550517
TB,1023,356.5061607
TB,1024,404.8437654
TB,1025,381.7934943
TB,1026,472.9896501
TB,1027,388.7639231
TB,1028,497.1133563
TB,1029,446.6481025
TB,1030,357.3913258
TB,1031,221.8526368
TB,1032,413.4992607
TB,1033,454.5475604
TB,1034,440.4618038
TB,1035,225.6190241
TB,1036,250.4879251
TB,1037,364.4337112
TB,1038,299.875308
TB,1039,393.8003943
TB,1040,397.8166585
TB,1041,299.6318383
TB,1042,357.2414983
TB,1043,255.4061114
TB,1044,305.8994579
TB,1045,352.6067028
TB,1046,329.7363233
TB,1047,324.2134056
TB,1048,303.3395761
TB,1049,388.2173484
TB,1050,392.4218827
TB,1051,396.3587974
TB,1052,603.077378
TB,1053,553.2252341
TB,1054,455.5495318
TB,1055,500.9610646
TB,1056,400.1404633
TB,1057,340.1917201
TB,1058,419.0763923
TB,1059,442.7111878
TB,1060,540.0123213
TB,1061,560.158206
TB,1062,452.986693
TB,1063,532.7930015
TB,1064,536.2824051
TB,1065,647.3341548
TB,1066,550.3173977
TB,1067,312.1912272
TB,1068,230.6623953
TB,1069,471.5278462
TB,1070,368.2060128
TB,1071,399.7856087
TB,1072,448.1207491
TB,1073,337.6771809
TB,1074,393.0197141
TB,1075,278.9029078
TB,1076,386.9659931
TB,1077,399.0261212
TB,1078,374.8068014
TB,1079,490.7402661
TB,1080,393.59931
TB,1081,386.1843273
TB,1082,511.4494825
TB,1083,334.1961557
TB,1084,331.0926565
TB,1085,221.7274519
TB,1086,289.124692
TB,1087,271.3203549
TB,1088,364.4593396
TB,1089,364.7496304
TB,1090,125.7964515
TB,1091,126.7762445
TB,1092,244.5667817
TB,1093,281.0892065
TB,1094,144.0936422
TB,1095,347.1335633
TB,1096,347.417447
TB,1097,304.9093149
TB,1098,316.3873829
TB,1099,157.8230655
